espn_id,full_name
4278129,deandre ayton
3945274,luka doncic
4066648,rui hachimura
4397077,jaxson hayes
4683774,bronny james
1966,lebron james
3913174,luke kennard
2960236,maxi kleber
4897943,dalton knecht
4592691,jake laravia
4702972,chris manon
4066457,austin reaves
2990992,marcus smart
4683686,nick smith jr
5060631,adou thiero
4431695,drew timme
4278077,jarred vanderbilt
4397886,charles bassey
6430,jimmy butler iii
4433149,lj cryer
2326307,seth curry
3975,stephen curry
6589,draymond green
3213,al horford
4897449,malevy leons
4066436,deanthony melton
4432171,moses moody
3134903,gary payton ii
4709138,brandin podziemski
3102531,kristaps porzingis
4593016,quinten post
4897262,will richard
4997536,gui santos
4592714,pat spencer
4397821,nate williams
3074213,omer yurtseven
4397885,dalano banton
3917376,jaylen brown
4277951,luka garza
5175647,hugo gonzalez
4397251,ron harper jr
4065804,sam hauser
4066354,payton pritchard
4397424,neemias queta
4593841,baylor scheierman
4701992,max shulga
4065648,jayson tatum
4593043,john tonje
6478,nikola vucevic
4683689,jordan walsh
3078576,derrick white
4702745,amari williams
